PHRASES,RAGAM
Sa Ri Ga Sa Ri Ga Sa Ri Ga Pa Ga Ri Ga Ga Ga Ga Ga Pa Ga Pa Ga Pa Ga Ri Ga Pa Da Pa Ga Ri Sa -,MOHANAM
Ga Ri Sa Ri Ga Pa Da Pa Ga Pa Ga Ri Ga Ga Ga Ga Ga Pa Ga Pa Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Ga Ri Sa Ri Ga Pa Da Sa' Da Sa' Da Pa Da Pa Ga Ri Ga Pa Ga Pa Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Ga Ga Ga Ga Ga Ga Ga Ga Ga Pa Ga Ri Ga Ga Ga Ga Ga Pa Ga Pa Ga Pa Ga Ri Ga Pa Da Pa Ga Ri Sa -,MOHANAM
Ga Ri Sa Ri Ga Pa Ga Ri Ga Pa Da Sa' Da Pa Ga Pa Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Pa Ga Ga Ri Sa -,MOHANAM
Sa Ri Ga Ri Ri Ga Pa Ga Ga Pa Da Pa Pa Da Sa' - Sa' Da Da Pa Da Pa Ga Ri Ga Ri Da Pa Ga Ri Sa -,MOHANAM
Sa Ri Ri Ga Ri Ga Ga Pa Ga Pa Pa Da Pa Da Da Sa' Sa' Da Da Pa Da Pa Ga Ri Ga Ri Da Pa Ga Ri Sa -,MOHANAM
Ga Ri Ga Ri Pa Ri Ri Ri Ga Ri Ga Pa Ri Ri Ri Ri Ga Pa Da Sa' Da Sa' Da Pa Da Pa Ga Ri Ga Ri Sa -,MOHANAM
Ga Ri Sa Ri Ga Pa Ga Ri Ga Ri Ga Pa Ga Pa Ga Ri Ga Pa Da Pa Ga Ri Ga Pa Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Ga Ri Sa Ri Pa Ga Ga Ri Pa Ga Ri Ga Pa Ga Ga Ri Ga Pa Da Pa Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Sa Ri Ga Pa Da Sa' - Sa' Sa' Da Pa Da Pa Ga Ri Ga Ri Da Pa Ga Ri Sa Ri Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Sa Ri Ga Ga Ri Ga Pa Pa Ga Pa Da Da Pa Da Sa' - Sa Da Pa Pa Da Pa Ga Ga Pa Ga Ri Ri Ga Ri Sa -,MOHANAM
Ga Pa Da Pa Ga Pa Da Pa Ga Pa Da Pa Da Da Sa' - Sa' Sa' Da Pa Da Pa Ga Pa Ga Pa Da Pa Ga Ri Sa -,MOHANAM
Sa Ri Ri Ga Ga Pa Ga Ri Ga Pa Ga Pa Ga Pa Ga Ri Ga Pa Da Sa' Da Pa Ga Ri Ga Ri Pa Ga Ri Ri Sa Sa,MOHANAM
Ga Pa Da Pa Ga Pa Da Pa Ga Pa Da Pa Ga Ri Sa - Sa Ri Ga Pa Da Da Sa' - Sa' Sa' Da Pa Ga Ri Sa -,MOHANAM
Ga Ri Sa Ri Ga Pa Ga Ri Ga Pa Da Pa Ga Ri Ga Ri Ga Pa Ga Pa Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Sa - Sa Ri - Ri Ga Ga Ga Pa Ga Ri Ga Pa Ga Ri Ga Pa Da Pa Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Ga Ri Sa Ga Ga Pa Da Pa Ga Ri Sa Ri Ga Ri Ga Pa Ga Ri Sa Ri Pa Ga Ga Ri Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Sa Sa Sa Ri Ri Ri Ga Ga Ga Pa Ga Ri Ga Ri Ga Pa Ga Pa Da Pa Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Ga Ri Pa Ga Da Pa Ga Ri Ga Ri Ga Pa Ga Ri Sa Ri Ga Pa Ga Pa Ga Pa Ga Ri Ga Ri Ga Pa Ga Ri Sa -,MOHANAM
Ga Ri Sa Ri Ga Ga Pa - Ga Ga Da Pa Ga - Ga Ri Ga Pa Ga Pa Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Ga Ri Sa Ri Ga Ga Pa - Ga Ga Da Pa Ga - Ga Ri Da Pa Ga Pa Da Pa Ga Ri Ga Ri Ga Pa Ga Ri Sa -,MOHANAM
Sa - Sa Ri - Ri Ga Ga Ga Pa Ga Ri Ga Pa Ga Ri Ga Pa Ga Pa Ga Pa Da Pa Ga Ri Ga Pa Ga Ri Sa -,MOHANAM
Sa Ri Ga Ga Da Pa Ga Ri Ga Pa Ga Ri Ga Ri Ga Pa Ga Pa Ga Pa Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Sa Ri Sa Ri Ga Ga Da Pa Ga Pa Ga Ri Ga Ri Ga Pa Ga Pa Ga Ri Ga Ga Ga Ga Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Ga Ga Ga Ri Ga Pa Ga Ri Ga Pa Da Pa Ga Pa Ga Ri Ga Ri Ga Pa Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Sa,MOHANAM
Sa Ri Ga - Ri Ga Pa - Ga Pa Da - Pa Da Sa' -,MOHANAM
Sa Ri Ri Ga Ri Ga Ga Pa Ga Pa Pa Da Pa Da Da Sa Sa Da Da Pa Da Pa Pa Ga Pa Ga Ga Ri Ga Ri Ri Sa,MOHANAM
Ga Ri Sa Ri Ga Ri Ga Pa Ga Pa Da Pa Ga Pa Pa Da - Da Pa Ga Pa Da Sa' Ri' Ga' - Sa' Ri' Da Sa' -,MOHANAM
Ga Ga Ri -Sa Sa Ri Ri Ga Ga Ri Ri Sa Ri Ga Ri Sa Ri Sa Da Sa Ri Ga Pa Ga Ri Sa Ri Ga Ri Sa -,MOHANAM
Ga Ri Ga Pa Ga Pa Da Sa' Da Pa Ga Ri Ga Ri Pa Ga Ga Ri Sa Ri Ga Pa Ga Ri Ga Ri Sa Ri Ga Ri Sa -,MOHANAM
Ga Ri Ga Ri Ga Pa Ga Ri Ga Ri Ga Pa Ga Pa Da Sa' Da Pa Ga Ri Da Pa Ga Pa Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Ga Pa Ga Ri Ga Ri Ga Pa Ga Pa Da Sa' Da Pa Ga Ri Da Pa Ga Pa Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Ga Ri Sa Ri Ga Pa Ga Ri Ga Ri Ga Pa Ga Pa Da Sa' Da Pa Ga Ri Da Pa Ga Pa Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Sa Ri Ga Ri Ga Pa Ga Ri Ga Ri Da Pa Ga Ri Ga Pa Ga Pa Ga Ri Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Ga Ga Ga Ga Ri Ga Pa Ga Pa - Pa - Ga Ga Da Pa Da - Da Pa Sa - Sa -,MOHANAM
Da Ga Ri Ri Sa Sa Da Sa Da Da Da Pa Ga Pa Da Sa Da Pa Da Pa Ga Ga Ri Sa,MOHANAM
Sa Ga Ga Ga Ri Pa Ga Ri Sa Pa Ga Da Pa Ga Ri Sa Ga Ga Ri Sa,MOHANAM
Sa Ri Ga Ri Sa Ri Sa Da. Sa Ri Ga Pa Ga Ri Sa Ri Ga Pa Ga Ri,MOHANAM
Sa Ri Ga Ri Ga Pa Da Ri Ga Pa Ga Pa Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Da Pa Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Sa Ri Sa Ri Ga Pa Da Pa Ga Ri Ga Pa Ga Pa Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Da Pa Ga Pa Ga Ri Ga Ri Sa -,MOHANAM
Sa' Sa' Da Pa Ga Ri Sa Ri Ga Pa Ga Da Pa Ga,MOHANAM
Ga Pa Da Sa' Ri' Sa' Da Pa Sa' Pa Da Pa Sa Ri Sa,MOHANAM
Ga Ga Pa Da Pa Sa' Sa' Da Da Sa' Ri' Ga' Ri' Sa' Da,MOHANAM
Ga' Ga' Ri' Sa' Ri' Ri' Sa' Da Sa' Sa' Da Pa Ga Ri Sa,MOHANAM
Da Sa' Da Da Pa Ga Da Pa Da Ga Da Pa Ga Ri Sa Ri,MOHANAM
Ga Ga Pa Da Pa Da Sa' Da Sa' Ri' Sa' Ga' Ri' - Sa',MOHANAM
Ga - Ri Ga Ri Sa Ri - Sa Ri Sa Ga Ri Ga Sa Ri Sa Da. Sa Ri Ga Ri Ga Pa Ga Pa Da - Pa,MOHANAM
Ga Ga Ga Pa - Pa Pa Pa Ga Pa Da Pa Ri - Ri Ri Sa - Sa -,MOHANAM
Sa Ri Ga Ri Ga Ga Ga Ga Pa Ga Ri Ga Ga Ga Ga Pa Da Sa' Da Pa Ga Ri Da Pa Ga Pa Ga Ri Ga Ri Ga Ga Ri Sa,MOHANAM
Sa Ga Ri Ga Pa Ga Pa Pa Ga Pa Da Sa' Sa',MOHANAM
Sa Ri Ri Ri Ga Ga Ga Pa Da Pa Ga Ga Pa Ga Ga Ga,MOHANAM
Sa Ri Ga Ri Ga Ri Ga Pa Da Sa' Sa' - Ga' Ri' Sa' Ri' Ga' Ga' Ri' - Sa' Ri' Ga' Ri' Sa' Pa Ga Ri Ga Ri Sa -,MOHANAM
Sa Ri - Ri Ga Ga Ga Pa Da Pa Ga Ga Pa Ga Ga Ri Sa,MOHANAM
Sa Ri - Ri Ga Ga Ga Ga Pa Ga Pa Ga Pa Ga Ga Ga Pa Da Pa Ga Ri Sa,MOHANAM
Ga Ri Sa Ri Ga Pa Ga Ri Ga Pa Ga Ri Ga Ri Ga Pa Ga Pa Da Sa' Da Pa Ga Ri Ga Pa Ga Ri Ga Ri Ga Pa Ga Pa Ga Ri Ga Ri Sa,MOHANAM
Sa Ri Ga Ri Ga Ri Ga Pa Ga Pa Da Ri Ga Pa Da,MOHANAM
Ga Pa Da Sa' Da Pa Ga Pa Da Pa Ga Da Pa Ga Ri,MOHANAM
Ga Ri Ga Sa Ri Ga Ri Ga Ri Ga Pa Ga Pa Ga Pa Da Pa Ga Ri Ri Ga Ri Sa,MOHANAM
Ga Pa Da - Pa Ga Ri - Ri Ga Pa - Ga Ri Sa,MOHANAM
Sa Ri Ga - Ga Ri Sa - Sa Ri Ga Ri Sa Da. Sa,MOHANAM
Ga' Ri' Ga' Ri' Sa' Da Sa',MOHANAM
Ga' Ri' Ga' -Sa' Ri' Ga' Ri' Sa' Da Sa',MOHANAM
Sa' Ga' Ri' Ri' Pa' Ga' Ga' Ri' Sa' Ri' Sa' Da',MOHANAM
Sa' Ga' Ri' Sa' Da Pa,MOHANAM
Sa' Da Ri' Sa' Da Pa Ga Pa Da Pa Ga Ri Pa Ga Ri Ga Pa Ga Ri Sa,MOHANAM
Sa Sa Ri Ri Ga Sa Ri Ga Ri Pa Ga Ga Da Pa,MOHANAM
Ga Pa Da Sa' Da Pa Ga Da Pa - Ga Ri Ri Ga Pa - Ga Ri - Sa Ri Ga Ri Sa Da. Sa,MOHANAM
Ga Ga Da Pa Ga - Pa Ga Ga Ri Sa,MOHANAM
Ga Ga Ga Ga Ri Ga Pa Ga Pa Pa Ga Ga Da Pa Da -Da Pa Sa' - Sa' -,MOHANAM
Da Ga' Ri' Ri' Sa' Sa' Da Sa' Da Da Da Pa Ga Pa Da Sa Da Pa,MOHANAM
Ga Pa Da Sa Sa Ga Ga Da Pa Ga Ri Ri Ri Sa,MOHANAM
Ga Pa Da Sa' Ri' Ga' Sa' Ga' Ga' Pa' Da' Pa' Ga' Ri' Sa' Sa',MOHANAM
Ga Pa Da Da Ga Ri Sa Ga Pa Da Sa' Da Pa Ga Ri Sa,MOHANAM
Ga Pa Da Sa' Sa' Da Pa Ga Pa Ga Ri,MOHANAM
Sa Ri Ga Ga Pa Pa Da Da Sa' Sa' Ri' Ri' Sa' Sa' Da Da Pa Pa Ga Ri Sa Ri,MOHANAM
Pa Da Ga Ga Pa Da Da Sa' Sa' Sa',MOHANAM
Pa Da Ga Ga Pa Da Da Ri Sa Ri Ri,MOHANAM
Da Sa' Da Pa Ga Pa Da Sa' Ri Ga Ri,MOHANAM
Ga Pa Da Da Ga Ri Sa' Sa' Ga Pa Da Sa' Da Pa Ga Ri Sa' Sa',MOHANAM
Ga Ga Ri Ri Sa Ri Ga Ri Sa Sa Sa Ri Sa - Da. Sa,MOHANAM
Ga Ga Pa Ga Ri Sa Ri Ga Pa Ga Ri Sa Sa Ri Sa - Da. Sa - Pa Pa Da Sa',MOHANAM
Ga Pa Da Pa - Ga Ri Sa Ri Ga Pa Ga Ri Sa Da. Sa Ri Ga Ri Sa - Ri Ga Ga Sa - Pa Pa Da Sa',MOHANAM
Ga Pa Da Sa' Da Pa - Ga Ri Sa Ri Ga Pa Ga Ri Sa Da. Sa Ri Ga Ri Sa - Ri Sa,MOHANAM
Ga Ga Pa Pa Da - Pa Pa Ga Ri Sa Ri - Sa Ri - Sa Ri,MOHANAM
Ga Ga Pa Pa Da Da Ri' Sa' Sa' - Da Pa Pa Ga Da Pa Pa Ga Ri - Da Pa - Ri Sa - Ri Pa Ga Ri Sa Ri,MOHANAM
Ga Ga Pa Pa Da Da - Ga' Ri' Sa' - Sa' Da Pa Ga Da Pa Pa Ga Ri Ga - Da Pa Da - Ri Sa Sa Da Pa - Da Pa Pa Ga Ri,MOHANAM
Ga Pa Da Sa' Da Pa - Ga Ri Sa Ri Ga Pa Da Pa Ga Ri Sa Da. Sa Ri Ga Ri Sa -,MOHANAM
Ga Ga Pa Pa Da - Pa Pa Ga Ri Sa Ri - Ri Da. Sa,MOHANAM
Da Da Pa Da Pa Ga Pa Ga Ri Sa Sa Ga Ri Ga Pa Ga Pa Pa Pa,MOHANAM
Pa Ga Ri Sa Ni. Sa Ri Ga Ri Sa Ri Ga - Ga Ri,HAMSDHVANI
Sa Ri Ga Ri Sa Ri Ga Pa Ni Sa' Sa' Ni Pa Ga Ga Ri Sa Ri Sa,HAMSDHVANI
Sa Ri Ga Ri Ga Pa Ga Pa Ni Pa Ni Sa',HAMSDHVANI
Ga Ri Pa Ga Ni Pa Sa' Ni Ri' Sa',HAMSDHVANI
Ga' - Ga' Ri' Ri' Ga' Ga' Ri Ga' Ri' Sa - Ni Pa - Ri' Sa Ni Sa,HAMSDHVANI
Ga' - Ga' Ri' Ri' Ga' Ga' Ri' Ga' Ri' Sa' Ni Pa - Ga' Ri' Sa' Ni Pa - Ni Sa' Ri' Ga',HAMSDHVANI
Ga' Ri' Sa' Ni Pa - Ni Sa' Ri' Ga',HAMSDHVANI
Pa Ga Ri Ga Pa - Pa - Ni Ni Pa -,HAMSDHVANI
Pa Ga Pa Ni - Pa Ga Pa Ni - Pa Ga Pa -,HAMSDHVANI
Pa - Pa - Pa Ga Pa Ni Ni Pa Ga - Pa Ni Pa Ga Pa Ga Ri Sa,HAMSDHVANI
Ga Ri Ga Ri Ga Pa Ni Pa Ga Ri Ga Pa Ga Ri Ga Ri Sa Ni. Pa. Ni. Sa,HAMSDHVANI
Sa Ri Ga Ri Ga - Ga - Pa Ga Ri Ga Pa - Pa - Ga Pa Ni Ni Pa - Pa - Sa' Ni Sa' Ri' Sa' Sa',HAMSDHVANI
Sa Sa Sa Ri Ri Ri Ga Ga Ga Pa Ga Ri Ga Pa Ga Ga Pa Ni Ni Pa Pa Ni Sa,HAMSDHVANI
Ga' Ri' Ga' Ni Ri' Ga' Ri' Ni Ri' Ga' Ri' Sa' Ni P,HAMSDHVANI
Ga' Ri' Ga' Ni Ri' Ga' Ri' Ni Ri' Ga' Ri' Sa' Ni Pa Ga' Pa' Ga' Ri' Sa,HAMSDHVANI
Ga' Ri' Ri' Sa' Ni Pa' Ri' Sa' - Ni Pa Ga - Ri Sa Ri -,HAMSDHVANI
Ga' Ri' Ga' Ri' Sa' Ga' Ri' Sa' Ni Pa Ni Sa' Ga' Ri' Sa',HAMSDHVANI
Sa' Ni Pa Ga Ri Sa Ri Ga Ga Ga' Ri' Sa' Ni' Pa' -,HAMSDHVANI
Ga Ri Ga Pa Ga Pa Ga Ri Pa Ni Sa - Ga Ri Ga' Ri' Sa',HAMSDHVANI
Sa Ri Ri Ga Ga Pa Pa Ni Pa Ni Sa',HAMSDHVANI
Ga' Ga' Ri' Sa' Ni Pa Ga' Ri' Sa',HAMSDHVANI
Ga Ga Ri Ga Pa Ga Ga Ri Ga Ri Ga Pa Ga Ri Pa Ga Ri Sa Ni. Pa Ga Ri Sa,HAMSDHVANI
Ga' Ga' Ri' Ri' Sa' Ni Pa' Ga' Ri' Sa',HAMSDHVANI
Pa Pa Ga Ri Ni Pa Ga Ri Sa' Sa' Ni Pa' Ga' Ri' Ga' Ri' Sa',HAMSDHVANI
Ga Ri Pa Ga Ni Pa Ga Ri Sa' Sa' Ni Pa' Ga' Ri' Ga' Ri' Sa',HAMSDHVANI
Sa Ri Ri Ga Ri Ga Pa Ga Ga Pa Ni Pa Pa Ni Sa',HAMSDHVANI
Sa Ri Ga Ri Pa Ga Ga Ri Ga Pa Ni Pa Pa Ni Sa',HAMSDHVANI
Ga' Ri' Ga' Ri' Sa' Ni Pa Ni Ga' Ri' Sa',HAMSDHVANI
Pa Ga Pa Ni Pa Ga Pa Ga Pa Ni Sa' Ni Ni Sa',HAMSDHVANI
Ga' Ri' Sa' Ni Pa Ni Sa Ni Ri' Ga' Ri' Ni Ri' Sa',HAMSDHVANI
Sa' Ni Sa' Ri' Ni Pa Ga Pa Ni Ni Pa Ni Sa',HAMSDHVANI
Ni - Ni Ni Ni Ni Ga' Ri' Ni Ri' Sa',HAMSDHVANI
Sa - Sa' - Ni Pa - Pa Pa Ga Ga - Ri Sa,HAMSDHVANI
Ga Ri Pa Ga Ni Pa Sa' Ni Ri' Sa' Ga' Ri' Ga' Sa' Ri' Ni' Sa',HAMSDHVANI
Ga' - Ga' Ri' Sa' Ri' Ri' Sa' Ni Sa' Ga Pa Ni Pa,HAMSDHVANI
Ni Sa' Pa Ni Sa' Ga Pa Ni Sa' Ri Ga Pa Ni Sa',HAMSDHVANI
Sa Ri Ga Pa Ni Sa',HAMSDHVANI
Ga' Ri' Sa' Ri' Sa' Ni Sa' Ni Pa Ga Pa Ni Sa',HAMSDHVANI
Pa - Pa Pa Ga - Ga Ga Ri - Ri Ri Sa Ni. Sa Ri Sa,HAMSDHVANI
Ga - Ga Ga Pa - Pa Pa Ni - Ni Ni Sa' Ni Sa' Ri' Sa' Ni Sa',HAMSDHVANI
Ga' Ga' Ga' Ri' Ri' Ri' Sa' Sa' Sa' Ni' Ni' Ni' Pa,HAMSDHVANI
Ga' Ga' Ri' Ri' Sa' Sa' Ni Ni Pa Pa,HAMSDHVANI
Ga' Ri' Sa' Ni Pa Ri Sa' Ni Pa Sa' Ni Pa Ga Pa Ni Sa',HAMSDHVANI
Pa - Pa Pa Ri - Ri Ri Sa - Sa Sa Sa Ri Ga Ri Ga Pa Ni Sa,HAMSDHVANI
Sa Ga Ri Sa Pa Ri Sa Ga Pa Ni Pa Ga Ri Sa,HAMSDHVANI
Sa Ga Ri Ga Ri Pa Ga Ri Ga Ni Pa Ga Pa Sa' Ni Pa Ni Ga' Ri' Sa',HAMSDHVANI
Ga' Ri' Sa' Ni' Ri' Sa' Ni' Pa' Sa' Ni Pa Ga Ga Pa Ni Sa',HAMSDHVANI
Sa' Ga' Ri' Sa' Ri' Ri' Ga' Ri' Sa' Ga Pa Ni Sa',HAMSDHVANI
Sa' Sa' Ni Pa Ga Ri Sa,HAMSDHVANI
Sa Sa Ri Ga Pa Ni Sa',HAMSDHVANI
Ri - Ri Ri Ga Pa Ni Sa Ri',HAMSDHVANI
Ri' Ri' Ri' Sa Ni Pa Ga Ri,HAMSDHVANI
Ga - Ga Pa Ni Sa Ri Ga',HAMSDHVANI
Ga' Ga' Ri' Sa' Ni Pa Ga,HAMSDHVANI
Pa Pa Ni Sa' Ri' Ga' Pa',HAMSDHVANI
Pa' Pa Ga Ri Sa Ni Pa,HAMSDHVANI
Pa' Pa' Ga' Ri' Sa' Ni Pa,HAMSDHVANI
Pa. Ni Sa Ga Ri Pa,HAMSDHVANI
Ri Ri Ga Pa Sa Ni,HAMSDHVANI
Ga - Ga Pa Ni Sa Ri Sa,HAMSDHVANI
Ga' Ri' Ga' - Ga Ri Ga - Pa Ga Pa - Ni Ni Pa,HAMSDHVANI
Ga Pa Ni Pa Ga Pa Ni Pa Ga - Sa Ri Ga Ri Sa Ri Ga Ri Sa -,HAMSDHVANI
Ri Ri Ri Sa - Ga Ga Ri Pa Pa Ga Ni Ni Pa Sa' Sa' Ni Ri' Sa',HAMSDHVANI
Sa' - Sa' Sa' Ni' - Ni' Ni' Pa - Pa Pa,HAMSDHVANI
Sa Sa Ri Ri Ga Ga Sa Ri Ri Ga Ga Ri Ga Pa Ga Pa Pa Ga Ga Pa Pa Ni - Ga Pa Ni Pa Pa Ni Ni Sa' Pa Ni Sa',HAMSDHVANI
Sa' Ga' Ri' Sa' Ni Ri' Sa' Ni - Ri Sa Ni Pa Pa - Pa Ni Sa',HAMSDHVANI
Sa' Ni Pa Ga Ga Pa Ni Ri' - Pa Ga Ri Sa Ni. Ri Sa,HAMSDHVANI
Sa Sa Sa Ri Ri Ri Ga Ga Ga Sa Ri Ga Sa' Sa' Sa' Ni Ni Ni Pa Ni Sa',HAMSDHVANI
Sa' Ri' Sa' Ni Sa' Ni Sa' Ni Pa Ni,HAMSDHVANI
Pa Ni Pa Ga Pa Ga. Ri Sa Ri Ga,HAMSDHVANI
Ni. Ri. Sa Sa Ga Ri Ri Pa Ga Ga Ni Pa Pa Sa Ni Ni Ni Ri' Sa',HAMSDHVANI
Ni Ga' Ri' Ni Ri' Ni Pa Ni Pa Ga Pa Ni Sa',HAMSDHVANI
Sa' Ni Pa Ga Pa Ni Ni Pa Ga Ri Pa Ga Pa Ga Ri Sa Ri Ga Ga Ri Sa Ni Ri Sa,HAMSDHVANI
Sa' Sa' Pa Pa Ga Ga Ri Ri Ni Ri Sa,HAMSDHVANI
Sa Sa Pa Pa Sa' Sa' Ni Ri' Sa',HAMSDHVANI
Sa - Sa Ni Sa Ri Sa Ni Pa,HAMSDHVANI
Pa - Pa Pa Pa Ga Pa Ni Ni Pa Ga - Pa Ni Pa,HAMSDHVANI
Sa - Sa Ni Ga Ri Sa Ni Ri Sa,HAMSDHVANI
Sa' Ni Ni Pa Pa Ga Ga Ri Sa Sa' Sa' Ni Ni Pa,HAMSDHVANI
Ri Ri' Ri Sa' Ni Pa Ga Ga' Ga Ga' Ri' Sa',HAMSDHVANI
Pa' Ga' Pa' Ga' Ri' Ga' Ri'' Sa' Ri' Sa' Ni Sa',HAMSDHVANI
Pa' Pa' Ga' Ga' Ri' Ri' Sa' Ni Sa',HAMSDHVANI
Pa' Ga' Ri Sa' Ri' Ri' Sa' Ni Sa',HAMSDHVANI
Pa' Pa' - Pa Ga' Ga' - Ga' Sa' Ni Ri' Sa',HAMSDHVANI
Ga Ri Ga Pa Ga Pa Ni Pa Ni Sa' Ni Sa',HAMSDHVANI
Ga' Ri' Ga' Ri' Sa' Ri' Sa' Ni Sa' Pa Ni Sa',HAMSDHVANI
Ri Sa Ni Pa Ni Sa' Ni Sa',HAMSDHVANI
Ga' Ri' Sa' Ni' Sa',HAMSDHVANI
Ri' Sa' Ni Sa',HAMSDHVANI
Sa' Ni Pa Ni Pa Ga Ri Sa,HAMSDHVANI
Sa - Sa Sa Ga Ri Ri Ri - Ri Ri Pa Ga Sa - Ga - Ga - Ni Pa Ga Pa,HAMSDHVANI
Pa - Pa - Sa' Ni Sa',HAMSDHVANI
Sa' Ri' Sa' Ni Sa' Ri' Sa' Ni Sa',HAMSDHVANI
Sa' Ni Pa Ni Pa Ga Ri Pa Ga Ri Sa,HAMSDHVANI
Sa Ri Ga Ri Ri Ga Pa Ga Ga Pa Ni Pa Pa Ni Sa',HAMSDHVANI
Pa Ni Sa' Ni Ga' Ri' Sa' Ni' Pa' Ga' Ri' Sa',HAMSDHVANI
Ga' Ri' Sa' Ni' Ri' Sa' Ni Pa Sa' Ni Pa Ga,HAMSDHVANI
Sa Ri Ga Ri Ri Ga Pa Ga Ga Pa Ni Pa Pa Ni Sa' Ga' Ri' Sa,HAMSDHVANI
Ga' Ri' Ga' Sa' Ri' Ni' Sa,HAMSDHVANI
Ri' Sa' Ri' Ni Ri' Ni Sa' Ga' Ri' Sa' Ni Pa Ga' Ri' Sa' Ni Pa Ri' Sa' Ni Pa Ga Ri Sa Ni Pa Ga - Sa' Ni Pa Ga Ri Sa Ni Pa Ga Ri - Sa Ri Ga Pa Ni Ni Ga Pa Ni Sa',HAMSDHVANI
Ni Ri Ga Ri Sa' Ni  Ri Ga Ma’ Ga Ga Ma’ Pa' Ma’ Ga' Ri Ga Ri Sa',YAMAN
Sa Ri Sa Sa ni Da Pa Da ni Sa Ri Pa Ma ga Ri  ga Ri Sa,YAMAN
Sa Ri ga Ma Pa Ma Pa ni Da Pa Ma Pa Da ni Sa Sa na Da Pa Ma ga Ri Ma ga Ri Sa,YAMAN
Ma Pa Da ni Sa Sa ni Da Pa Da ni Sa,YAMAN
Pa Da ni Sa ni Sa Ri Ma ga Ri Ri Pa Ma ga Ri ga Ri Sa ,YAMAN
Sa ni Da Pa Ma Pa ni Da Pa Ma Pa ga Ri Ma ga Ri Sa,YAMAN
Sa ni Da Pa Ma Pa ni Da Pa Ma Pa ga Ri Ma ga Ri Sa,YAMAN
ni Da Pa Ma ga ga Ri Ri Ri Pa Ma Pa Ma ga Ri Sa,YAMAN
Ma Ma Pa Da ni ni Sa - Da ni Sa Ri  ga Ri Sa -,YAMAN
